         37492 function calls (37385 primitive calls) in 0.301 seconds
   Ordered by: internal time
   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 fnmatch.py:1(<module>)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:989(create_module)
        5    0.000    0.000    0.000    0.000 :0(match)
        1    0.000    0.000    0.000    0.000 <frozen posixpath>:169(basename)
        3    0.000    0.000    0.000    0.000 argparse.py:1637(_get_handler)
        3    0.000    0.000    0.000    0.000 argparse.py:1887(_add_action)
        8    0.000    0.000    0.000    0.000 _parser.py:172(__setitem__)
        8    0.000    0.000    0.000    0.000 _compiler.py:428(_get_iscased)
        1    0.000    0.000    0.000    0.000 argparse.py:2241(_match_argument)
        3    0.000    0.000    0.046    0.015 gettext.py:631(gettext)
        1    0.000    0.000    0.000    0.000 argparse.py:2020(consume_optional)
        2    0.000    0.000    0.003    0.002 <frozen importlib._bootstrap_external>:1287(create_module)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:997(exec_module)
        6    0.000    0.000    0.000    0.000 :0(items)
        1    0.000    0.000    0.000    0.000 argparse.py:2511(_get_values)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1295(exec_module)
        3    0.000    0.000    0.000    0.000 <frozen os>:766(decode)
        3    0.000    0.000    0.000    0.000 _parser.py:98(closegroup)
        6    0.000    0.000    0.000    0.000 :0(isidentifier)
        6    0.000    0.000    0.000    0.000 :0(reverse)
        7    0.000    0.000    0.000    0.000 :0(callable)
        1    0.000    0.000    0.000    0.000 bz2.py:26(BZ2File)
        2    0.000    0.000    0.000    0.000 _parser.py:449(_uniq)
        3    0.000    0.000    0.000    0.000 enum.py:202(__get__)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
        3    0.000    0.000    0.000    0.000 argparse.py:610(format)
        6    0.000    0.000    0.000    0.000 :0(_fix_co_filename)
        1    0.000    0.000    0.000    0.000 lzma.py:38(LZMAFile)
